step,T_Loss,T_Accuracy,T_Precision,T_Recall,T_F1,V_Loss,V_Accuracy,V_Precision,V_Recall,V_F1
138,1.4596394487541087,0.4457877128953771,0.28637756897990174,0.3677252019967954,0.29108865698982195,0.04332135488957534,0.4732510288065844,0.27800081523027187,0.33146422316406604,0.28150660280401263
275,1.2986543587524526,0.4906630170316302,0.34946216637865934,0.40715406951568744,0.34194018370723606,0.03915994243366728,0.5452674897119342,0.3405983211348527,0.425232829003534,0.36630707926143097
412,1.226704626187791,0.5291818734793188,0.4024151055081713,0.46055171578894216,0.3940771806468996,0.03765658733776077,0.5020576131687243,0.3571213976216733,0.4025699923100395,0.3487092716210521
