step,T_Loss,T_Accuracy,T_Precision,T_Recall,T_F1,V_Loss,V_Accuracy,V_Precision,V_Recall,V_F1
24,2.939161777496338,0.265625,0.06394042465471038,0.1875,0.08706450191412597,0.10630675814478531,0.06700507614213198,0.0016751269035532995,0.025,0.0031398667935299716
25,2.3312230110168457,0.390625,0.1572742474916388,0.24057971014492754,0.18535148426452774,nan,nan,nan,nan,nan
26,2.724294662475586,0.265625,0.09063168014780919,0.13748079877112135,0.08884001303356143,0.10276582253160815,0.05583756345177665,0.0034887447556208985,0.04090909090909091,0.00601968511220884
27,2.8888421058654785,0.234375,0.06838691611418884,0.14790764790764793,0.08702430467136349,nan,nan,nan,nan,nan
28,2.7051734924316406,0.296875,0.10599816849816848,0.1751984126984127,0.12381963274820416,0.0967477425705963,0.02233502538071066,0.0015289316287950632,0.028409090909090905,0.0024956873921848045
29,2.620258331298828,0.296875,0.15157312925170066,0.19047619047619047,0.16481592637054823,nan,nan,nan,nan,nan
30,2.8557934761047363,0.234375,0.0912466501752216,0.17261904761904762,0.09710975299210592,0.08934092497462548,0.07411167512690356,0.004499313413637865,0.04618298368298368,0.007795713545009228
31,2.676314115524292,0.296875,0.12364718614718614,0.21130952380952378,0.13996598639455782,nan,nan,nan,nan,nan
32,2.78779673576355,0.265625,0.08811016569637259,0.15517241379310345,0.10566406773303325,0.07635672128745143,0.07817258883248732,0.03055247597930525,0.028452685421994882,0.012487347655443088
33,2.3113932609558105,0.390625,0.15702886002886005,0.22266666666666665,0.17950715950715948,nan,nan,nan,nan,nan
34,2.467104911804199,0.390625,0.1942760942760943,0.29100529100529104,0.18857356635134412,0.06447740278873347,0.14416243654822336,0.032320534436950744,0.055057145140664954,0.03146806751484759
35,2.5111136436462402,0.359375,0.12221475842165497,0.2074712643678161,0.14776688828412965,nan,nan,nan,nan,nan
36,2.7991943359375,0.21875,0.07743386243386242,0.20555555555555557,0.10398730898730899,0.05691841507926205,0.18274111675126903,0.029852290514111212,0.07761625762345073,0.035936035788055355
37,2.696061849594116,0.296875,0.10591133004926108,0.19482758620689655,0.12406329302881026,nan,nan,nan,nan,nan
38,2.7693381309509277,0.21875,0.1077020202020202,0.15611111111111112,0.11114478114478114,0.05298870662747301,0.19695431472081218,0.03947099064226266,0.10055127497183122,0.046025076553072614
39,2.4367401599884033,0.390625,0.15526561915450804,0.24713403880070547,0.16744593460279733,nan,nan,nan,nan,nan
40,2.4775216579437256,0.359375,0.12269787825343383,0.1779541446208113,0.14226257281812837,0.04996896613067782,0.1949238578680203,0.06533734370660053,0.10341210513601737,0.05353284410549926
41,2.534470319747925,0.3125,0.09877344877344878,0.17738095238095236,0.11795159089276736,nan,nan,nan,nan,nan
42,2.566997528076172,0.3125,0.1690886699507389,0.1942528735632184,0.15982063913098393,0.04699657580574152,0.2131979695431472,0.07216059572703895,0.11383908131510434,0.06532771677362122
43,2.4947102069854736,0.265625,0.13050793650793652,0.2082857142857143,0.14232933732933734,nan,nan,nan,nan,nan
44,2.42260479927063,0.328125,0.08558080808080808,0.16481481481481483,0.10055555555555556,0.04476099425766069,0.2578680203045685,0.11985364303082868,0.1323214171490187,0.08768169569654087
45,2.5105490684509277,0.34375,0.17095959595959592,0.2464285714285714,0.1856193806193806,nan,nan,nan,nan,nan
46,2.4156370162963867,0.328125,0.13419540229885057,0.16896551724137931,0.1348559486490521,0.043451627741005215,0.2609137055837564,0.0935746987643585,0.13297660396262787,0.08849245255760582
47,2.5333619117736816,0.359375,0.20532106782106785,0.29777777777777775,0.22496901246901244,nan,nan,nan,nan,nan
48,2.4354429244995117,0.328125,0.13102869352869354,0.1955128205128205,0.14423076923076922,0.04241265814921578,0.26192893401015227,0.09397154424409912,0.12066337615354823,0.08478858295758994
49,2.5492377281188965,0.296875,0.12281061850027368,0.2036124794745484,0.1445962083893118,nan,nan,nan,nan,nan
50,2.54373836517334,0.21875,0.0626302709636043,0.11666666666666667,0.07965768799102131,0.04257804512372477,0.267005076142132,0.09623637524286956,0.12207780414306739,0.08497299660627947
51,2.490983724594116,0.328125,0.17464285714285713,0.23055555555555554,0.17803159803159802,nan,nan,nan,nan,nan
52,2.377568006515503,0.28125,0.10442857142857143,0.13466666666666666,0.11182750582750582,0.04188782938845872,0.2781725888324873,0.1282287129090978,0.13175741574523334,0.09599527992618181
53,2.7205820083618164,0.234375,0.10608038914490527,0.14731182795698924,0.10626338385251796,nan,nan,nan,nan,nan
54,2.470487117767334,0.28125,0.14874169040835705,0.18271604938271604,0.13024100655679602,0.041662738528953594,0.30253807106598984,0.1066003678845584,0.15006263795417682,0.1048253728024228
55,2.3214006423950195,0.40625,0.15826932923707118,0.2115975422427035,0.16774891774891773,nan,nan,nan,nan,nan
56,2.5231308937072754,0.375,0.20030864197530865,0.3096707818930041,0.2277534795594651,0.04174940525577758,0.3177664974619289,0.10633930766292295,0.16389075606604483,0.11198225572676404
57,2.225770950317383,0.4375,0.18686067019400351,0.2478395061728395,0.18812634115276908,nan,nan,nan,nan,nan
58,2.4572577476501465,0.265625,0.14563098192130453,0.2043010752688172,0.1439836149513569,0.042087675956300065,0.3065989847715736,0.1061051940487768,0.16198727416708975,0.1105973971663546
59,2.348071813583374,0.359375,0.12778258778258778,0.2375,0.1592110177404295,nan,nan,nan,nan,nan
60,2.433577537536621,0.3125,0.10473544973544974,0.18134920634920634,0.11984367484367484,0.04267601555374068,0.31573604060913707,0.14954152992909528,0.177524157498058,0.12748307347849078
61,2.2851614952087402,0.390625,0.2287603021978022,0.26996527777777773,0.23429383116883118,nan,nan,nan,nan,nan
62,2.066770076751709,0.40625,0.2142857142857143,0.24105090311986863,0.20281012091356915,0.043622617673147755,0.31065989847715736,0.12333331596062913,0.1631692433978436,0.11952679929077444
63,2.194986343383789,0.40625,0.16280788177339903,0.19143404488232077,0.15889874155594236,nan,nan,nan,nan,nan
64,2.112548828125,0.4375,0.22391259534116675,0.2720238095238095,0.2206431256713212,0.04315220401976919,0.30761421319796955,0.11890293969997219,0.16021325558918323,0.11778557464523802
65,2.5018975734710693,0.390625,0.19566174566174563,0.30808080808080807,0.22744107744107744,nan,nan,nan,nan,nan
66,2.5423743724823,0.265625,0.1260185185185185,0.19166666666666668,0.12746512746512745,0.04187808496697905,0.3177664974619289,0.12486191299092934,0.16372581020462004,0.12075288233495167
67,2.46419620513916,0.265625,0.1406314273961333,0.16666666666666666,0.13659387997623293,nan,nan,nan,nan,nan
68,2.523254871368408,0.328125,0.16141493055555556,0.23697916666666666,0.17344442837863888,0.03876760719996419,0.3411167512690355,0.12589236774142493,0.17161147329429055,0.12710977385445527
69,2.1782987117767334,0.375,0.18906525573192243,0.28271604938271605,0.19676660787771902,nan,nan,nan,nan,nan
70,2.321138620376587,0.359375,0.12584465343086032,0.1724137931034483,0.12694388100067613,0.03696375340979716,0.35634517766497464,0.15860388985308288,0.18048064746081208,0.14108089509958371
71,2.3100810050964355,0.359375,0.13796124510410224,0.20238095238095236,0.15223028605381547,nan,nan,nan,nan,nan
72,2.0771679878234863,0.46875,0.30812169312169313,0.3583333333333333,0.3148627298627299,0.0366420003968447,0.35736040609137054,0.1826355847833494,0.18385437716536254,0.14476439745198788
73,2.229868173599243,0.375,0.1693121693121693,0.2316738816738817,0.16711705802614896,nan,nan,nan,nan,nan
74,2.4503896236419678,0.359375,0.1442652329749104,0.26666666666666666,0.1718301411849799,0.03697310474318296,0.3695431472081218,0.1972927650067474,0.19107183720617776,0.15088135682438214
75,2.2344565391540527,0.328125,0.16236559139784945,0.189247311827957,0.15697743117097954,nan,nan,nan,nan,nan
76,2.1948435306549072,0.375,0.16934203789042498,0.2139016897081413,0.1788577014383466,0.0375929158351143,0.3746192893401015,0.2137913738764357,0.20110050019483197,0.1612090771493352
77,2.23420786857605,0.3125,0.21102292768959435,0.2507936507936508,0.20898511043438578,nan,nan,nan,nan,nan
78,2.2491421699523926,0.359375,0.17462877624167944,0.29892473118279567,0.2013993175283498,0.03941056304776729,0.349238578680203,0.1949226137013143,0.18700924412313608,0.15210894430473632
79,2.122366428375244,0.453125,0.23879310344827587,0.2567049808429119,0.22471086438205046,nan,nan,nan,nan,nan
80,2.166541814804077,0.421875,0.20039682539682538,0.26421568627450975,0.21114081996434939,0.03882097229739736,0.3472081218274112,0.18372748265461117,0.18913136761347396,0.15356817779428938
81,2.085555076599121,0.359375,0.1921065493646139,0.24462365591397847,0.19807987711213515,nan,nan,nan,nan,nan
82,2.211341381072998,0.34375,0.21155913978494623,0.26021505376344084,0.21198720634204507,0.03883017646479728,0.3269035532994924,0.14632532570416285,0.17646866524554436,0.14054022552151166
83,2.254538059234619,0.328125,0.16087878787878787,0.20466666666666666,0.15869654528478055,nan,nan,nan,nan,nan
84,2.079345703125,0.390625,0.13990015360983102,0.23118279569892475,0.169444533960663,0.036801213177327576,0.35634517766497464,0.2344896696155573,0.1956730031062685,0.15734481088389984
85,2.126713991165161,0.40625,0.1769293924466338,0.2632183908045977,0.19534201430753154,nan,nan,nan,nan,nan
86,2.270995616912842,0.359375,0.12571428571428572,0.22761904761904764,0.15055944055944057,0.03577194322789381,0.35431472081218274,0.16122268857980016,0.1879816760383482,0.14282157969561465
87,2.0217742919921875,0.4375,0.2631720430107527,0.29569892473118276,0.2517665130568357,nan,nan,nan,nan,nan
88,2.244741678237915,0.34375,0.1594155844155844,0.22053872053872053,0.16086649535847394,0.034734809459163456,0.3949238578680203,0.23278655395077133,0.21786890296055014,0.17418827782029042
89,1.9945368766784668,0.40625,0.23465608465608465,0.26722222222222225,0.23158160552897394,nan,nan,nan,nan,nan
90,2.235917091369629,0.3125,0.12523809523809523,0.20555555555555557,0.15318903318903318,0.034304572725053974,0.39390862944162436,0.19949632968262032,0.2124338492821301,0.16994207351389448
91,2.039731502532959,0.40625,0.2668430335097001,0.2629629629629629,0.22669819892042115,nan,nan,nan,nan,nan
92,1.8171749114990234,0.4375,0.1850574712643678,0.23448275862068965,0.19776202291949063,0.033788321829084214,0.4050761421319797,0.21113995974684432,0.21933419335376048,0.178917964203883
93,1.927695631980896,0.390625,0.14464285714285713,0.21111111111111114,0.1653043253043253,nan,nan,nan,nan,nan
94,2.0391674041748047,0.390625,0.1918097228442056,0.2563218390804598,0.1925136616820187,0.032463238445030254,0.41624365482233505,0.21563765052831538,0.22765641991530483,0.18762019096965937
95,2.0089545249938965,0.515625,0.24264455782312927,0.3005952380952381,0.25247113997114,nan,nan,nan,nan,nan
96,1.780400276184082,0.578125,0.28383303938859494,0.40432098765432095,0.32126669626669624,0.03231937401185786,0.4182741116751269,0.2380428889076979,0.2320668797457391,0.19557114226262445
97,1.9581313133239746,0.359375,0.15304659498207884,0.20161290322580644,0.1545580763322699,nan,nan,nan,nan,nan
98,1.9222477674484253,0.484375,0.29938672438672437,0.29195011337868476,0.26530612244897955,0.03224755144361312,0.4071065989847716,0.24884295900074038,0.22468541076034104,0.19167788823725282
99,2.1384661197662354,0.390625,0.20103174603174606,0.24074074074074076,0.19954050306991486,nan,nan,nan,nan,nan
