step,T_Loss,T_Accuracy,T_Precision,T_Recall,T_F1,V_Loss,V_Accuracy,V_Precision,V_Recall,V_F1
27,2.526564359664917,0.28125,0.10450564760909589,0.16559934318555009,0.10859829825347067,nan,nan,nan,nan,nan
28,2.2678918838500977,0.375,0.11231884057971016,0.19384057971014493,0.14142239657113798,nan,nan,nan,nan,nan
29,2.5571234226226807,0.3125,0.1002267573696145,0.2108843537414966,0.13083107368821653,nan,nan,nan,nan,nan
30,2.502061128616333,0.25,0.12377846512461896,0.21428571428571427,0.14200479008171316,nan,nan,nan,nan,nan
31,2.1518876552581787,0.390625,0.14144444444444443,0.16819047619047617,0.14200000000000002,nan,nan,nan,nan,nan
32,2.2885549068450928,0.34375,0.11346153846153845,0.21025641025641026,0.14090909090909093,nan,nan,nan,nan,nan
33,2.1699893474578857,0.453125,0.14354456654456654,0.2258095238095238,0.16668629148629147,nan,nan,nan,nan,nan
34,2.3110601902008057,0.34375,0.11416756320602475,0.19166666666666662,0.14113219875306088,nan,nan,nan,nan,nan
35,2.023128032684326,0.5,0.23298368298368297,0.247979797979798,0.21409122278687498,nan,nan,nan,nan,nan
36,1.8926916122436523,0.46875,0.16296536796536795,0.23,0.18235653235653237,nan,nan,nan,nan,nan
37,2.0933444499969482,0.390625,0.21205128205128204,0.24955555555555553,0.20125962925962926,nan,nan,nan,nan,nan
38,2.198854446411133,0.453125,0.15853909465020577,0.25462962962962965,0.19365079365079366,nan,nan,nan,nan,nan
39,2.051492929458618,0.40625,0.1606976356976357,0.23557692307692307,0.17307692307692307,nan,nan,nan,nan,nan
40,2.214708089828491,0.421875,0.22216343327454438,0.27932098765432095,0.22339866620912371,nan,nan,nan,nan,nan
41,1.738168716430664,0.5625,0.24633838383838383,0.324074074074074,0.27337962962962964,nan,nan,nan,nan,nan
42,2.0067005157470703,0.359375,0.11390415140415142,0.19903846153846153,0.14359742821281285,nan,nan,nan,nan,nan
43,1.7772071361541748,0.515625,0.3048932178932179,0.3640606060606061,0.30900725418372477,nan,nan,nan,nan,nan
44,2.0796873569488525,0.421875,0.2150568181818182,0.31145833333333334,0.23025726316167494,nan,nan,nan,nan,nan
45,2.0124456882476807,0.4375,0.2108898046398046,0.23656462585034013,0.19043309631544925,nan,nan,nan,nan,nan
46,2.2055604457855225,0.40625,0.21004273504273505,0.2909340659340659,0.23020019196489785,nan,nan,nan,nan,nan
47,1.7060275077819824,0.546875,0.23134129245240356,0.24382716049382716,0.2208372411270962,nan,nan,nan,nan,nan
48,1.8272111415863037,0.484375,0.3527777777777778,0.3400462962962963,0.320205673669296,nan,nan,nan,nan,nan
49,1.8027276992797852,0.4375,0.18490646258503401,0.23324829931972788,0.17886027371321486,nan,nan,nan,nan,nan
50,2.081010341644287,0.421875,0.25532039976484416,0.3104056437389771,0.2482645289834832,nan,nan,nan,nan,nan
51,2.083000659942627,0.390625,0.15376984126984125,0.20535714285714285,0.1659319205537693,nan,nan,nan,nan,nan
52,2.0509839057922363,0.46875,0.2509259259259259,0.37592592592592594,0.27946662391106836,nan,nan,nan,nan,nan
53,1.8717882633209229,0.4375,0.17294238683127572,0.20546737213403882,0.17314681203570093,nan,nan,nan,nan,nan
54,2.465517997741699,0.359375,0.19259259259259257,0.24691358024691357,0.19474373363262257,nan,nan,nan,nan,nan
55,2.255634069442749,0.328125,0.14897910731244066,0.22882796216129547,0.1486037624926514,nan,nan,nan,nan,nan
56,1.7153786420822144,0.53125,0.3239234056541749,0.35631868131868133,0.3099100175187131,nan,nan,nan,nan,nan
57,1.840247631072998,0.453125,0.2211504544837878,0.28703703703703703,0.24690001356668023,nan,nan,nan,nan,nan
58,1.9103037118911743,0.46875,0.23206926406926406,0.2763809523809524,0.24184126984126986,nan,nan,nan,nan,nan
59,1.9673596620559692,0.40625,0.23719211822660097,0.2738095238095238,0.23031971409253352,nan,nan,nan,nan,nan
60,1.7269041538238525,0.546875,0.321802682913794,0.34197530864197534,0.30303886986893525,nan,nan,nan,nan,nan
61,1.7379186153411865,0.515625,0.2363275613275613,0.3002551020408163,0.24145428506330763,nan,nan,nan,nan,nan
62,1.7304809093475342,0.515625,0.3551136363636364,0.37743055555555555,0.33956529581529576,nan,nan,nan,nan,nan
63,1.811455488204956,0.53125,0.32210497835497837,0.34980158730158734,0.3081890331890332,nan,nan,nan,nan,nan
64,1.6956840753555298,0.5,0.24930426716141002,0.2738095238095238,0.22934763649049364,nan,nan,nan,nan,nan
65,1.752166986465454,0.5,0.24844576719576716,0.2829861111111111,0.23333126266478668,nan,nan,nan,nan,nan
66,2.1222589015960693,0.40625,0.16542767577250336,0.2175287356321839,0.17223451554080357,nan,nan,nan,nan,nan
67,1.7414551973342896,0.546875,0.28575487012987016,0.32083333333333336,0.2853385585003232,nan,nan,nan,nan,nan
68,1.414271354675293,0.671875,0.3582417582417582,0.40210622710622707,0.3753302253302253,nan,nan,nan,nan,nan
69,1.9204012155532837,0.46875,0.2766095016095016,0.30512820512820515,0.24481254040077569,nan,nan,nan,nan,nan
70,1.6631269454956055,0.609375,0.385952380952381,0.3922222222222222,0.371577964519141,nan,nan,nan,nan,nan
71,1.8176170587539673,0.5,0.27011494252873564,0.3591954022988506,0.2959580649235822,nan,nan,nan,nan,nan
72,1.6363017559051514,0.53125,0.28375790875790874,0.33146853146853145,0.2915904608212301,nan,nan,nan,nan,nan
73,1.728712558746338,0.5,0.26913580246913577,0.345679012345679,0.27411477411477414,nan,nan,nan,nan,nan
74,1.7549350261688232,0.484375,0.2886141636141636,0.3571428571428571,0.30244755244755245,nan,nan,nan,nan,nan
