step,T_Loss,T_Accuracy,T_Precision,T_Recall,T_F1,V_Loss,V_Accuracy,V_Precision,V_Recall,V_F1
0,3.9155430793762207,0.03125,0.011428571428571429,0.010714285714285714,0.010744810744810745,nan,nan,nan,nan,nan
1,3.6285510063171387,0.03125,0.006666666666666667,0.02222222222222222,0.010256410256410255,nan,nan,nan,nan,nan
2,3.4218099117279053,0.09375,0.029206349206349205,0.023809523809523808,0.022236586942469293,nan,nan,nan,nan,nan
3,3.458578586578369,0.15625,0.0518037518037518,0.07150793650793652,0.05391774891774892,nan,nan,nan,nan,nan
4,3.4166436195373535,0.140625,0.028145087235996326,0.06363636363636364,0.03284950343773873,nan,nan,nan,nan,nan
5,3.204450845718384,0.3125,0.11842105263157895,0.1681547619047619,0.1230746237889095,nan,nan,nan,nan,nan
