step,T_Loss,T_Accuracy,T_Precision,T_Recall,T_F1,V_Loss,V_Accuracy,V_Precision,V_Recall,V_F1,Elapsed_time
278,2.4297231646651394,0.37362017495140243,0.2054101401675338,0.26164297738891235,0.21333067553275706,1.5380045444734636,0.5989847715736041,0.47997940299376773,0.38490110673784567,0.3783358030691277,624.183
555,1.5132856487367128,0.606801930019439,0.4308232933628341,0.46496416840157717,0.42913538118828326,1.0868051648139954,0.7147208121827411,0.5894660401973872,0.5621297972832183,0.5556508988719375,1258.463
832,1.1596563987783577,0.7035892807553458,0.5443145533859058,0.5606505995219703,0.5375533703184252,0.859051751513635,0.7756345177664975,0.7029020569404334,0.6633129239794757,0.6537763868137462,1932.041
1109,0.9785272941692641,0.7414346709247431,0.5931641590721644,0.6057116267544269,0.5850736489725539,0.7551594126609064,0.7928934010152284,0.7508281346334302,0.702631023483459,0.6944039455447414,2616.150
1386,0.8654945314145691,0.7626180227714524,0.6220890211441583,0.6252333578385774,0.6102282821162822,0.665267692458245,0.8213197969543147,0.7792063658714731,0.7540366126785172,0.7498613720681938,3282.356
1663,0.7915063152889913,0.7761212163287976,0.6467769671899432,0.6488809256673814,0.6347686364327083,0.6016170834341357,0.8192893401015229,0.7730247408175266,0.7533090294908616,0.7458697988653074,3892.301
1940,0.7299998471452871,0.791438142182727,0.6620397968574467,0.6652131970763492,0.651184734821343,0.6028430860850119,0.8213197969543147,0.7609605470992143,0.7488370955171068,0.7438897136546962,4523.588
2217,0.6661503480659926,0.8035181199666759,0.6789560713261066,0.6818960710344933,0.6687872209496665,0.534582993195903,0.8446700507614213,0.8029380619046822,0.775019488186267,0.7770326639795118,5164.943
2494,0.6383894940145609,0.8137236184393225,0.6956630496092391,0.6955043547681369,0.6839190518590964,0.5200061192435603,0.8416243654822335,0.790055952927945,0.761581492279498,0.759391308098731,5781.328
2771,0.6146708546670335,0.81640516523188,0.7011433432218717,0.701149494146055,0.6894686357698,0.5490149514329049,0.8192893401015229,0.7774669245111243,0.7585978278677498,0.749804950432247,6405.860
