step,T_Loss,T_Accuracy,T_Precision,T_Recall,T_F1,V_Loss,V_Accuracy,V_Precision,V_Recall,V_F1,Elapsed_time
555,2.184469377090785,0.3928249097472924,0.24258056612628623,0.2828023471910982,0.2476141817270514,1.6605743477421422,0.5106598984771573,0.39246992318129614,0.40045152945390206,0.360813675919598,799.433
1109,1.2824884532591065,0.6124999999999999,0.4544275899173328,0.4625839613862267,0.4480810165512507,1.0589287079149676,0.683248730964467,0.609683450137475,0.5439970965616049,0.5396898849690588,1612.781
1663,1.0188479895841345,0.6878610108303249,0.5387714060034104,0.5420075866828443,0.5308950525373577,0.9341016113758087,0.7197969543147208,0.6139216572276464,0.6398870608097452,0.6046709644315751,2414.652
2217,0.875671513835876,0.7341832129963899,0.5940964813852232,0.5906686681481831,0.5835549256576945,0.8642130544589411,0.7299492385786802,0.7054414158494362,0.6555170779656815,0.6489880859494986,3210.401
2771,0.7887605006675428,0.7576714801444043,0.6275932771750556,0.6264683663051913,0.6186019819726485,0.811956046569732,0.7614213197969543,0.7700817854156317,0.6747926662793249,0.6827589961455983,4017.862
3325,0.7313539118973357,0.7702166064981949,0.6414279256169855,0.6388340691194054,0.6324084526391205,0.8090056969273475,0.7390862944162436,0.6914443637596672,0.671728332863081,0.658205188843149,4864.330
3879,0.6783716144167989,0.7841606498194946,0.6578521142416327,0.6562745188040222,0.6499371317692212,0.6389638737084404,0.7959390862944162,0.7373656146518666,0.7459387080419952,0.7246876465247283,5671.508
4433,0.6421152633557681,0.7958483754512635,0.672771314305147,0.6721040458459586,0.6651712416512243,0.7625026991290431,0.7553299492385787,0.7303233247923256,0.6926408952913211,0.6816686037398803,6501.718
4987,0.6219195170523028,0.799706678700361,0.6780608893083715,0.6770036327528416,0.6705964809654357,0.6354493840086844,0.8111675126903554,0.7424183751427255,0.7381132058083092,0.7273345895903436,7313.978
5541,0.593697016366122,0.8083258122743683,0.6972170750429908,0.693971816973813,0.6884093227270796,0.6032240333095673,0.817258883248731,0.7858018766907817,0.7561407765496064,0.7550603084870613,8124.433
6095,0.5635792161422085,0.8168772563176896,0.7053694295800155,0.7023557849270231,0.6970598201291922,0.5636609912880005,0.8365482233502538,0.7791898682400555,0.7783805295693104,0.766138149514101,8923.260
6649,0.5509878483463065,0.8237590252707582,0.7129628670041075,0.7107406045099786,0.705164747875743,0.6076085752537174,0.8142131979695432,0.7496399831819021,0.7563973752285668,0.7390992127678112,9721.777
7203,0.529950783335829,0.825518953068592,0.7184654718372003,0.7149698441085145,0.7104560096804962,0.6025426298860581,0.8091370558375635,0.7949667083217535,0.741883900305685,0.7426335459683818,10539.387
7757,0.5139309896714312,0.832062274368231,0.7244671147582427,0.7207080534863073,0.7163263301984912,0.6530988318545203,0.7979695431472081,0.7485251643440844,0.7344079420146515,0.722554528990426,11362.821
8311,0.503181877845246,0.8353339350180505,0.7329586030779366,0.728270017439762,0.7245225250349792,0.5240504340298714,0.8426395939086294,0.791825589791922,0.7914352135707906,0.7844021594782853,12169.122
8865,0.4849364406795708,0.841764440433213,0.7417951204012126,0.7388299164603922,0.7342178165322318,0.5682535003269872,0.8284263959390863,0.7680513686682755,0.7616469756230965,0.7513645531245795,12951.456
9419,0.476318071895558,0.8423285198555956,0.7409965786196807,0.7366972903750884,0.7328846672182558,0.587298734113574,0.8121827411167513,0.7822532647033409,0.7610346550577941,0.7413027088491835,13725.437
9973,0.4661880419908986,0.8434792418772563,0.7426410107503,0.7406438463614109,0.7357904339564105,0.5673100886445853,0.8223350253807107,0.7768638520235347,0.7640167410533183,0.7582187900591018,14482.423
10527,0.4445362131477801,0.8516696750902527,0.7522927058120964,0.7503228743133635,0.7455818649299248,0.626622774067425,0.8131979695431472,0.7796590127875754,0.7607003684739191,0.7519759279633575,15261.116
11081,0.45366274008682056,0.8493682310469314,0.7525337343442683,0.7490325919556166,0.745080080390693,0.5678280030767764,0.8233502538071066,0.7981398466062405,0.7860867652427924,0.7646241821941031,16036.694
