step,T_Loss,T_Accuracy,T_Precision,T_Recall,T_F1,V_Loss,V_Accuracy,V_Precision,V_Recall,V_F1,Elapsed_time
278,2.4487937447826784,0.3799378644820883,0.21093034825046914,0.2675799912222401,0.21909606170672558,1.5534842629586496,0.6203045685279188,0.4615517601175159,0.4331899238501757,0.40580814836420737,644.438
555,1.495292936851832,0.620539433490697,0.4449328038246781,0.4776825970743676,0.4428128180303026,1.07258314471091,0.7137055837563452,0.5948955670685248,0.5575474847024043,0.5474340016274115,1272.932
832,1.1569295381380762,0.6999010691474591,0.5457126385400912,0.5618441138985382,0.5389407282962646,0.8754418434635285,0.76751269035533,0.7124310091043258,0.6725000376146208,0.6629887758253685,1935.239
1109,0.9796300585304356,0.7398031796723132,0.5919598157159647,0.6031357695013863,0.5832244835523418,0.7550842704311493,0.7807106598984772,0.705099467232009,0.692969446282732,0.6795262745634559,2612.897
1386,0.8764432757985291,0.7625919883365732,0.6215014323058854,0.6284635663147075,0.6107685515013853,0.7367941862152468,0.7959390862944162,0.7311374057517018,0.7214101204539195,0.7065727300713034,3240.430
1663,0.7923204448033756,0.7814582754790337,0.6535331738052855,0.6570529907078322,0.6420965283630791,0.6193393920698473,0.8121827411167513,0.7715445889366717,0.7418427569601924,0.7342168767014902,3845.279
1940,0.7419790769742284,0.7880883782282699,0.6607818677783789,0.6594693654718532,0.6473155345827406,0.5661272694987636,0.8182741116751269,0.7608624019904907,0.7492429182103086,0.7391049540261758,4507.536
2217,0.7079493360398909,0.7930783115801167,0.6654996087037358,0.6650945035159244,0.6529414757645758,0.6116920036654319,0.8111675126903554,0.7580845786176321,0.7365545097682894,0.7211322509371202,5157.433
2494,0.6398223346428751,0.8084473063038045,0.6821585115217829,0.6867756899234264,0.6729805148826151,0.5448543467829304,0.8243654822335026,0.7561625499473346,0.7783776485202907,0.7545096472409281,5803.648
2771,0.6246022017746626,0.8102002915856706,0.6960746038129192,0.6964484328420633,0.6837185477893,0.519250520775395,0.8365482233502538,0.7695654452348125,0.7919453583936946,0.7710077134765121,6444.864
3048,0.5983825291537206,0.8227141766176063,0.711469224637163,0.7106217138420775,0.6996160023911487,0.4904647459906916,0.8477157360406091,0.7861695230080796,0.7776468059198354,0.7714225271035673,7060.998
3325,0.588618838453551,0.8224972229936129,0.7126842438320553,0.7161419583413353,0.7025622099927549,0.4832079232700409,0.8395939086294416,0.7800766867462303,0.7978182922495101,0.7731370012183154,7750.880
3602,0.5561482094039986,0.827964454318245,0.715929235215281,0.7176133418205898,0.7065325891507958,0.5007038130875556,0.8274111675126904,0.7761902174500908,0.761821198968852,0.7504808178706304,8418.594
3879,0.5490743062771615,0.8354189808386558,0.732711428018255,0.7282618729494866,0.7194256740852013,0.440831390119368,0.8517766497461929,0.7985334364411102,0.7983532629841193,0.7919911172827969,9087.224
4156,0.5260043550914806,0.8375538044987503,0.7298049533937888,0.7287944829841483,0.7186001755512268,0.4315156590554022,0.8527918781725888,0.8076273647815839,0.8014569757736375,0.7926973854489525,9761.684
4433,0.5082712914754337,0.8449736184393225,0.7408601055647237,0.7394606191077102,0.7297624811868962,0.45440361961241693,0.8548223350253807,0.801494723751864,0.8048994292488318,0.7919339369707695,10441.130
4710,0.5293232185853517,0.836200013885032,0.7295859099817523,0.7294627232010406,0.7187144695383765,0.46883970450970436,0.8467005076142132,0.791767780425068,0.8067002108343658,0.7847924487869025,11078.226
4987,0.525026388116692,0.8389075951124687,0.7381001533661258,0.7373298981254119,0.726832424242176,0.4844439568058137,0.8456852791878172,0.7951944473934242,0.8052038259060007,0.7806860372333387,11727.587
5264,0.5296593571505391,0.8378315051374619,0.7305369396593159,0.734388588456613,0.7217849021706875,0.4856683808949686,0.8355329949238579,0.787438781209654,0.7797319828189402,0.7695739957858994,12363.306
5541,0.505285392814595,0.842578450430436,0.7424027020033397,0.7387264910617475,0.7299108279064344,0.4514747588865219,0.8416243654822335,0.7922478058731331,0.7842552190832854,0.7722513018810482,13064.489
