step,T_Loss,T_Accuracy,T_Precision,T_Recall,T_F1,V_Loss,V_Accuracy,V_Precision,V_Recall,V_F1
77,1.6476061940193176,0.3826030287984111,0.1991744290640266,0.2957776885972835,0.2136671294299494,0.050758980095386506,0.232,0.16653048840165846,0.23199999999999998,0.13355812876002546
153,1.6724724471569061,0.3668849304865938,0.19474208868863152,0.284433236981934,0.2029862978703526,0.05401255190372467,0.1,0.01,0.1,0.01818181818181818
229,1.6329152066456645,0.3501194761668322,0.1747687580713213,0.2667065944608412,0.18677311066973593,0.033525284528732296,0.15,0.17901029453589146,0.15,0.08664484678296112
